id,Predictions
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,6
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,5
33,13
34,29
35,1
36,1
37,1
38,1
39,1
40,7
41,1
42,1
43,28
44,1
45,1
46,1
47,1
48,28
49,1
50,1
51,1
52,1
53,14
54,1
55,1
56,15
57,1
58,1
59,1
60,1
61,1
62,1
63,15
64,2
65,2
66,2
67,2
68,2
69,2
70,2
71,2
72,2
73,2
74,2
75,2
76,2
77,2
78,2
79,2
80,2
81,2
82,2
83,2
84,2
85,2
86,2
87,2
88,2
89,2
90,2
91,2
92,2
93,2
94,2
95,2
96,3
97,3
98,3
99,3
100,22
101,22
102,15
103,22
104,11
105,15
106,15
107,11
108,11
109,3
110,3
111,3
112,3
113,3
114,3
115,3
116,5
117,13
118,22
119,3
120,3
121,22
122,3
123,3
124,3
125,3
126,4
127,4
128,4
129,4
130,4
131,4
132,4
133,4
134,4
135,4
136,4
137,4
138,4
139,4
140,4
141,4
142,4
143,4
144,4
145,4
146,4
147,4
148,4
149,4
150,4
151,4
152,4
153,4
154,15
155,29
156,22
157,29
158,29
159,1
160,5
161,5
162,5
163,5
164,5
165,5
166,5
167,5
168,5
169,5
170,5
171,5
172,5
173,5
174,5
175,5
176,5
177,5
178,5
179,5
180,5
181,5
182,5
183,5
184,5
185,5
186,5
187,6
188,6
189,6
190,6
191,6
192,6
193,6
194,6
195,6
196,6
197,6
198,6
199,6
200,6
201,6
202,6
203,6
204,6
205,6
206,6
207,6
208,6
209,6
210,6
211,6
212,6
213,6
214,6
215,6
216,6
217,6
218,6
219,6
220,7
221,7
222,7
223,7
224,7
225,7
226,1
227,7
228,7
229,1
230,7
231,15
232,15
233,15
234,15
235,7
236,7
237,7
238,7
239,7
240,7
241,7
242,7
243,7
244,7
245,7
246,7
247,7
248,7
249,7
250,7
251,7
252,7
253,7
254,8
255,8
256,8
257,8
258,8
259,8
260,8
261,8
262,8
263,8
264,8
265,10
266,8
267,1
268,7
269,10
270,10
271,10
272,10
273,10
274,8
275,8
276,8
277,8
278,8
279,8
280,8
281,8
282,8
283,8
284,8
285,8
286,8
287,8
288,8
289,8
290,8
291,13
292,10
293,8
294,9
295,22
296,9
297,22
298,22
299,22
300,22
301,22
302,9
303,20
304,20
305,10
306,10
307,9
308,9
309,9
310,9
311,3
312,3
313,3
314,3
315,3
316,8
317,29
318,12
319,13
320,13
321,13
322,9
323,9
324,29
325,9
326,13
327,29
328,29
329,29
330,29
331,15
332,29
333,7
334,8
335,10
336,10
337,10
338,29
339,10
340,15
341,1
342,10
343,7
344,10
345,14
346,8
347,10
348,10
349,10
350,10
351,10
352,10
353,15
354,29
355,15
356,10
357,10
358,10
359,10
360,10
361,10
362,10
363,10
364,10
365,27
366,27
367,27
368,27
369,11
370,11
371,11
372,11
373,11
374,11
375,11
376,11
377,11
378,11
379,11
380,11
381,11
382,11
383,11
384,11
385,11
386,11
387,11
388,11
389,11
390,11
391,11
392,11
393,11
394,11
395,11
396,15
397,11
398,11
399,11
400,11
401,12
402,11
403,11
404,11
405,12
406,12
407,12
408,12
409,12
410,12
411,12
412,12
413,12
414,12
415,12
416,12
417,12
418,12
419,12
420,3
421,3
422,3
423,3
424,19
425,19
426,19
427,19
428,19
429,19
430,27
431,27
432,12
433,27
434,27
435,27
436,27
437,19
438,19
439,19
440,19
441,19
442,13
443,13
444,13
445,13
446,13
447,13
448,9
449,13
450,3
451,3
452,13
453,13
454,13
455,13
456,13
457,13
458,13
459,13
460,13
461,13
462,20
463,13
464,13
465,13
466,13
467,13
468,13
469,13
470,22
471,13
472,13
473,13
474,7
475,13
476,28
477,14
478,14
479,14
480,14
481,14
482,14
483,14
484,14
485,14
486,14
487,14
488,14
489,14
490,14
491,14
492,14
493,14
494,14
495,14
496,14
497,14
498,14
499,22
500,14
501,14
502,14
503,14
504,14
505,14
506,14
507,14
508,14
509,14
510,14
511,14
512,14
513,15
514,15
515,15
516,15
517,15
518,15
519,15
520,15
521,15
522,15
523,22
524,15
525,11
526,15
527,15
528,15
529,15
530,15
531,15
